No,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type
1,Item_Weapon_Ax_n_01,Weapon_Ax_n,1,10,900,0,2,,Nomal,Weapon
2,Item_Weapon_Ax_n_02,Weapon_Ax_n,2,11,880,0,2,1,Nomal,Weapon
3,Item_Weapon_Ax_n_03,Weapon_Ax_n,3,12,860,0,2,1,Nomal,Weapon
4,Item_Weapon_Ax_n_04,Weapon_Ax_n,4,13,840,0,2,1,Nomal,Weapon
5,Item_Weapon_Ax_n_05,Weapon_Ax_n,5,14,820,0,2,1,Nomal,Weapon
6,Item_Weapon_Ax_n_06,Weapon_Ax_n,6,15,800,0,2,1,Nomal,Weapon
7,Item_Weapon_Ax_n_07,Weapon_Ax_n,7,16,780,0,2,1,Nomal,Weapon
8,Item_Weapon_Ax_n_08,Weapon_Ax_n,8,17,760,0,2,1,Nomal,Weapon
9,Item_Weapon_Ax_n_09,Weapon_Ax_n,9,18,740,0,2,1,Nomal,Weapon
10,Item_Weapon_Ax_n_10,Weapon_Ax_n,10,19,720,0,2,1,Nomal,Weapon
11,Item_Weapon_Ax_n_11,Weapon_Ax_n,11,20,600,0,2,1,Nomal,Weapon
12,Item_Weapon_Ax_n_12,Weapon_Ax_n,12,21,580,0,2,1,Nomal,Weapon
13,Item_Weapon_Ax_n_13,Weapon_Ax_n,13,22,560,0,2,1,Nomal,Weapon
14,Item_Weapon_Ax_n_14,Weapon_Ax_n,14,23,540,0,2,1,Nomal,Weapon
15,Item_Weapon_Ax_n_15,Weapon_Ax_n,15,24,520,0,2,1,Nomal,Weapon
16,Item_Weapon_Ax_n_16,Weapon_Ax_n,16,25,500,0,2,1,Nomal,Weapon
17,Item_Weapon_Ax_n_17,Weapon_Ax_n,17,26,480,0,2,1,Nomal,Weapon
18,Item_Weapon_Ax_n_18,Weapon_Ax_n,18,27,460,0,2,1,Nomal,Weapon
19,Item_Weapon_Ax_n_19,Weapon_Ax_n,19,28,440,0,2,1,Nomal,Weapon
20,Item_Weapon_Ax_n_20,Weapon_Ax_n,20,29,420,0,2,1,Nomal,Weapon
