No,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type
1,Item_Weapon_Wand_n_01,Weapon_Wand_n,1,6,1500,7,2,,Nomal,Weapon
2,Item_Weapon_Wand_n_02,Weapon_Wand_n,2,7,1480,7,2,1,Nomal,Weapon
3,Item_Weapon_Wand_n_03,Weapon_Wand_n,3,8,1460,7,2,1,Nomal,Weapon
4,Item_Weapon_Wand_n_04,Weapon_Wand_n,4,9,1440,7,2,1,Nomal,Weapon
5,Item_Weapon_Wand_n_05,Weapon_Wand_n,5,10,1420,7,2,1,Nomal,Weapon
6,Item_Weapon_Wand_n_06,Weapon_Wand_n,6,11,1400,7,2,1,Nomal,Weapon
7,Item_Weapon_Wand_n_07,Weapon_Wand_n,7,12,1380,7,2,1,Nomal,Weapon
8,Item_Weapon_Wand_n_08,Weapon_Wand_n,8,13,1360,7,2,1,Nomal,Weapon
9,Item_Weapon_Wand_n_09,Weapon_Wand_n,9,14,1340,7,2,1,Nomal,Weapon
10,Item_Weapon_Wand_n_10,Weapon_Wand_n,10,15,1320,7,2,1,Nomal,Weapon
11,Item_Weapon_Wand_n_11,Weapon_Wand_n,11,16,1300,7,2,1,Nomal,Weapon
12,Item_Weapon_Wand_n_12,Weapon_Wand_n,12,17,1280,7,2,1,Nomal,Weapon
13,Item_Weapon_Wand_n_13,Weapon_Wand_n,13,18,1260,7,2,1,Nomal,Weapon
14,Item_Weapon_Wand_n_14,Weapon_Wand_n,14,19,1240,7,2,1,Nomal,Weapon
15,Item_Weapon_Wand_n_15,Weapon_Wand_n,15,20,1220,7,2,1,Nomal,Weapon
16,Item_Weapon_Wand_n_16,Weapon_Wand_n,16,21,1200,7,2,1,Nomal,Weapon
17,Item_Weapon_Wand_n_17,Weapon_Wand_n,17,22,1180,7,2,1,Nomal,Weapon
18,Item_Weapon_Wand_n_18,Weapon_Wand_n,18,23,1160,7,2,1,Nomal,Weapon
19,Item_Weapon_Wand_n_19,Weapon_Wand_n,19,24,1140,7,2,1,Nomal,Weapon
20,Item_Weapon_Wand_n_20,Weapon_Wand_n,20,25,1120,7,2,1,Nomal,Weapon
