No,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type
1,Item_Weapon_Bow_n_01,Weapon_Bow_n,1,4,800,5,1,,Nomal,Weapon
2,Item_Weapon_Bow_n_02,Weapon_Bow_n,2,5,780,5,1,1,Nomal,Weapon
3,Item_Weapon_Bow_n_03,Weapon_Bow_n,3,6,760,5,1,1,Nomal,Weapon
4,Item_Weapon_Bow_n_04,Weapon_Bow_n,4,7,740,5,1,1,Nomal,Weapon
5,Item_Weapon_Bow_n_05,Weapon_Bow_n,5,8,720,5,1,1,Nomal,Weapon
6,Item_Weapon_Bow_n_06,Weapon_Bow_n,6,9,700,5,1,1,Nomal,Weapon
7,Item_Weapon_Bow_n_07,Weapon_Bow_n,7,10,680,5,1,1,Nomal,Weapon
8,Item_Weapon_Bow_n_08,Weapon_Bow_n,8,11,660,5,1,1,Nomal,Weapon
9,Item_Weapon_Bow_n_09,Weapon_Bow_n,9,12,640,5,1,1,Nomal,Weapon
10,Item_Weapon_Bow_n_10,Weapon_Bow_n,10,13,620,5,1,1,Nomal,Weapon
11,Item_Weapon_Bow_n_11,Weapon_Bow_n,11,14,600,5,1,1,Nomal,Weapon
12,Item_Weapon_Bow_n_12,Weapon_Bow_n,12,15,580,5,1,1,Nomal,Weapon
13,Item_Weapon_Bow_n_13,Weapon_Bow_n,13,16,560,5,1,1,Nomal,Weapon
14,Item_Weapon_Bow_n_14,Weapon_Bow_n,14,17,540,5,1,1,Nomal,Weapon
15,Item_Weapon_Bow_n_15,Weapon_Bow_n,15,18,520,5,1,1,Nomal,Weapon
16,Item_Weapon_Bow_n_16,Weapon_Bow_n,16,19,500,5,1,1,Nomal,Weapon
17,Item_Weapon_Bow_n_17,Weapon_Bow_n,17,20,480,5,1,1,Nomal,Weapon
18,Item_Weapon_Bow_n_18,Weapon_Bow_n,18,21,460,5,1,1,Nomal,Weapon
19,Item_Weapon_Bow_n_19,Weapon_Bow_n,19,22,440,5,1,1,Nomal,Weapon
20,Item_Weapon_Bow_n_20,Weapon_Bow_n,20,23,420,5,1,1,Nomal,Weapon
