No,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type
1,Item_Weapon_Sword_n_01,Weapon_Sword_n,1,999,800,0,1,,Nomal,Weapon
2,Item_Weapon_Sword_n_02,Weapon_Sword_n,2,9,780,0,1,1,Nomal,Weapon
3,Item_Weapon_Sword_n_03,Weapon_Sword_n,3,10,760,0,1,1,Nomal,Weapon
4,Item_Weapon_Sword_n_04,Weapon_Sword_n,4,11,740,0,1,1,Nomal,Weapon
5,Item_Weapon_Sword_n_05,Weapon_Sword_n,5,12,720,0,1,1,Nomal,Weapon
6,Item_Weapon_Sword_n_06,Weapon_Sword_n,6,13,600,0,1,1,Nomal,Weapon
7,Item_Weapon_Sword_n_07,Weapon_Sword_n,7,14,580,0,1,1,Nomal,Weapon
8,Item_Weapon_Sword_n_08,Weapon_Sword_n,8,15,560,0,1,1,Nomal,Weapon
9,Item_Weapon_Sword_n_09,Weapon_Sword_n,9,16,540,0,1,1,Nomal,Weapon
10,Item_Weapon_Sword_n_10,Weapon_Sword_n,10,17,520,0,1,1,Nomal,Weapon
11,Item_Weapon_Sword_n_11,Weapon_Sword_n,11,18,500,0,1,1,Nomal,Weapon
12,Item_Weapon_Sword_n_12,Weapon_Sword_n,12,19,480,0,1,1,Nomal,Weapon
13,Item_Weapon_Sword_n_13,Weapon_Sword_n,13,20,460,0,1,1,Nomal,Weapon
14,Item_Weapon_Sword_n_14,Weapon_Sword_n,14,21,440,0,1,1,Nomal,Weapon
15,Item_Weapon_Sword_n_15,Weapon_Sword_n,15,22,420,0,1,1,Nomal,Weapon
16,Item_Weapon_Sword_n_16,Weapon_Sword_n,16,23,400,0,1,1,Nomal,Weapon
17,Item_Weapon_Sword_n_17,Weapon_Sword_n,17,24,380,0,1,1,Nomal,Weapon
18,Item_Weapon_Sword_n_18,Weapon_Sword_n,18,25,360,0,1,1,Nomal,Weapon
19,Item_Weapon_Sword_n_19,Weapon_Sword_n,19,26,340,0,1,1,Nomal,Weapon
20,Item_Weapon_Sword_n_20,Weapon_Sword_n,20,27,320,0,1,1,Nomal,Weapon
