No,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type
1,Item_Weapon_Sword_n_01,Weapon_Sword_n,1,5,800,2,1,,Nomal,Weapon
2,Item_Weapon_Sword_n_02,Weapon_Sword_n,2,6,780,2,1,1,Nomal,Weapon
3,Item_Weapon_Sword_n_03,Weapon_Sword_n,3,7,760,2,1,1,Nomal,Weapon
4,Item_Weapon_Sword_n_04,Weapon_Sword_n,4,8,740,2,1,1,Nomal,Weapon
5,Item_Weapon_Sword_n_05,Weapon_Sword_n,5,9,720,2,1,1,Nomal,Weapon
6,Item_Weapon_Sword_n_06,Weapon_Sword_n,6,10,600,2,1,1,Nomal,Weapon
7,Item_Weapon_Sword_n_07,Weapon_Sword_n,7,11,580,2,1,1,Nomal,Weapon
8,Item_Weapon_Sword_n_08,Weapon_Sword_n,8,12,560,2,1,1,Nomal,Weapon
9,Item_Weapon_Sword_n_09,Weapon_Sword_n,9,13,540,2,1,1,Nomal,Weapon
10,Item_Weapon_Sword_n_10,Weapon_Sword_n,10,14,520,2,1,1,Nomal,Weapon
11,Item_Weapon_Sword_n_11,Weapon_Sword_n,11,15,500,2,1,1,Nomal,Weapon
12,Item_Weapon_Sword_n_12,Weapon_Sword_n,12,16,480,2,1,1,Nomal,Weapon
13,Item_Weapon_Sword_n_13,Weapon_Sword_n,13,17,460,2,1,1,Nomal,Weapon
14,Item_Weapon_Sword_n_14,Weapon_Sword_n,14,18,440,2,1,1,Nomal,Weapon
15,Item_Weapon_Sword_n_15,Weapon_Sword_n,15,19,420,2,1,1,Nomal,Weapon
16,Item_Weapon_Sword_n_16,Weapon_Sword_n,16,20,400,2,1,1,Nomal,Weapon
17,Item_Weapon_Sword_n_17,Weapon_Sword_n,17,21,380,2,1,1,Nomal,Weapon
18,Item_Weapon_Sword_n_18,Weapon_Sword_n,18,22,360,2,1,1,Nomal,Weapon
19,Item_Weapon_Sword_n_19,Weapon_Sword_n,19,23,340,2,1,1,Nomal,Weapon
20,Item_Weapon_Sword_n_20,Weapon_Sword_n,20,24,320,2,1,1,Nomal,Weapon
