ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Bow_n_01,Weapon_Bow_n,1,4,1000,6,2,,Nomal,Weapon,
2,Item_Weapon_Bow_n_02,Weapon_Bow_n,2,5,980,6,2,1,Nomal,Weapon,
3,Item_Weapon_Bow_n_03,Weapon_Bow_n,3,6,960,6,2,1,Nomal,Weapon,
4,Item_Weapon_Bow_n_04,Weapon_Bow_n,4,7,940,6,2,1,Nomal,Weapon,
5,Item_Weapon_Bow_n_05,Weapon_Bow_n,5,8,920,6,2,1,Nomal,Weapon,
6,Item_Weapon_Bow_n_06,Weapon_Bow_n,6,9,900,6,2,1,Nomal,Weapon,
7,Item_Weapon_Bow_n_07,Weapon_Bow_n,7,10,880,6,2,1,Nomal,Weapon,
8,Item_Weapon_Bow_n_08,Weapon_Bow_n,8,11,860,6,2,1,Nomal,Weapon,
9,Item_Weapon_Bow_n_09,Weapon_Bow_n,9,12,840,6,2,1,Nomal,Weapon,
10,Item_Weapon_Bow_n_10,Weapon_Bow_n,10,13,820,6,2,1,Nomal,Weapon,
11,Item_Weapon_Bow_n_11,Weapon_Bow_n,11,14,800,6,2,1,Nomal,Weapon,
12,Item_Weapon_Bow_n_12,Weapon_Bow_n,12,15,780,6,2,1,Nomal,Weapon,
13,Item_Weapon_Bow_n_13,Weapon_Bow_n,13,16,760,6,2,1,Nomal,Weapon,
14,Item_Weapon_Bow_n_14,Weapon_Bow_n,14,17,740,6,2,1,Nomal,Weapon,
15,Item_Weapon_Bow_n_15,Weapon_Bow_n,15,18,720,6,2,1,Nomal,Weapon,
16,Item_Weapon_Bow_n_16,Weapon_Bow_n,16,19,600,6,2,1,Nomal,Weapon,
17,Item_Weapon_Bow_n_17,Weapon_Bow_n,17,20,580,6,2,1,Nomal,Weapon,
18,Item_Weapon_Bow_n_18,Weapon_Bow_n,18,21,560,6,2,1,Nomal,Weapon,
19,Item_Weapon_Bow_n_19,Weapon_Bow_n,19,22,540,6,2,1,Nomal,Weapon,
20,Item_Weapon_Bow_n_20,Weapon_Bow_n,20,23,520,6,2,1,Nomal,Weapon,
