ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Ax_n_01,Weapon_Ax_n,1,16,1000,0,2,,Nomal,Weapon,
2,Item_Weapon_Ax_n_02,Weapon_Ax_n,2,18,980,0,2,1,Nomal,Weapon,
3,Item_Weapon_Ax_n_03,Weapon_Ax_n,3,20,960,0,2,1,Nomal,Weapon,
4,Item_Weapon_Ax_n_04,Weapon_Ax_n,4,22,940,0,2,1,Nomal,Weapon,
5,Item_Weapon_Ax_n_05,Weapon_Ax_n,5,24,920,0,2,1,Nomal,Weapon,
6,Item_Weapon_Ax_n_06,Weapon_Ax_n,6,26,900,0,2,1,Nomal,Weapon,
7,Item_Weapon_Ax_n_07,Weapon_Ax_n,7,28,880,0,2,1,Nomal,Weapon,
8,Item_Weapon_Ax_n_08,Weapon_Ax_n,8,30,860,0,2,1,Nomal,Weapon,
9,Item_Weapon_Ax_n_09,Weapon_Ax_n,9,32,840,0,2,1,Nomal,Weapon,
10,Item_Weapon_Ax_n_10,Weapon_Ax_n,10,34,820,0,2,1,Nomal,Weapon,
11,Item_Weapon_Ax_n_11,Weapon_Ax_n,11,36,800,0,2,1,Nomal,Weapon,
12,Item_Weapon_Ax_n_12,Weapon_Ax_n,12,38,780,0,2,1,Nomal,Weapon,
13,Item_Weapon_Ax_n_13,Weapon_Ax_n,13,40,760,0,2,1,Nomal,Weapon,
14,Item_Weapon_Ax_n_14,Weapon_Ax_n,14,42,740,0,2,1,Nomal,Weapon,
15,Item_Weapon_Ax_n_15,Weapon_Ax_n,15,44,720,0,2,1,Nomal,Weapon,
16,Item_Weapon_Ax_n_16,Weapon_Ax_n,16,46,700,0,2,1,Nomal,Weapon,
17,Item_Weapon_Ax_n_17,Weapon_Ax_n,17,48,680,0,2,1,Nomal,Weapon,
18,Item_Weapon_Ax_n_18,Weapon_Ax_n,18,50,660,0,2,1,Nomal,Weapon,
19,Item_Weapon_Ax_n_19,Weapon_Ax_n,19,52,640,0,2,1,Nomal,Weapon,
20,Item_Weapon_Ax_n_20,Weapon_Ax_n,20,54,620,0,2,1,Nomal,Weapon,
