ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Spear_n_01,Weapon_Spear_n,1,8,1500,2,3,,Nomal,Weapon,
2,Item_Weapon_Spear_n_02,Weapon_Spear_n,2,10,1480,2,3,1,Nomal,Weapon,
3,Item_Weapon_Spear_n_03,Weapon_Spear_n,3,12,1460,2,3,1,Nomal,Weapon,
4,Item_Weapon_Spear_n_04,Weapon_Spear_n,4,14,1440,2,3,1,Nomal,Weapon,
5,Item_Weapon_Spear_n_05,Weapon_Spear_n,5,16,1420,2,3,1,Nomal,Weapon,
6,Item_Weapon_Spear_n_06,Weapon_Spear_n,6,18,1400,2,3,1,Nomal,Weapon,
7,Item_Weapon_Spear_n_07,Weapon_Spear_n,7,20,1380,2,3,1,Nomal,Weapon,
8,Item_Weapon_Spear_n_08,Weapon_Spear_n,8,22,1360,2,3,1,Nomal,Weapon,
9,Item_Weapon_Spear_n_09,Weapon_Spear_n,9,24,1340,2,3,1,Nomal,Weapon,
10,Item_Weapon_Spear_n_10,Weapon_Spear_n,10,26,1320,2,3,1,Nomal,Weapon,
11,Item_Weapon_Spear_n_11,Weapon_Spear_n,11,28,1300,2,3,1,Nomal,Weapon,
12,Item_Weapon_Spear_n_12,Weapon_Spear_n,12,30,1280,2,3,1,Nomal,Weapon,
13,Item_Weapon_Spear_n_13,Weapon_Spear_n,13,32,1260,2,3,1,Nomal,Weapon,
14,Item_Weapon_Spear_n_14,Weapon_Spear_n,14,34,1240,2,3,1,Nomal,Weapon,
15,Item_Weapon_Spear_n_15,Weapon_Spear_n,15,36,1220,2,3,1,Nomal,Weapon,
16,Item_Weapon_Spear_n_16,Weapon_Spear_n,16,38,1200,2,3,1,Nomal,Weapon,
17,Item_Weapon_Spear_n_17,Weapon_Spear_n,17,40,1180,2,3,1,Nomal,Weapon,
18,Item_Weapon_Spear_n_18,Weapon_Spear_n,18,42,1160,2,3,1,Nomal,Weapon,
19,Item_Weapon_Spear_n_19,Weapon_Spear_n,19,44,1140,2,3,1,Nomal,Weapon,
20,Item_Weapon_Spear_n_20,Weapon_Spear_n,20,46,1120,2,3,1,Nomal,Weapon,
