ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Sword_n_01,Weapon_Sword_n,1,10,800,0,1,,Nomal,Weapon,
2,Item_Weapon_Sword_n_02,Weapon_Sword_n,2,12,780,0,1,1,Nomal,Weapon,
3,Item_Weapon_Sword_n_03,Weapon_Sword_n,3,14,760,0,1,1,Nomal,Weapon,
4,Item_Weapon_Sword_n_04,Weapon_Sword_n,4,16,740,0,1,1,Nomal,Weapon,
5,Item_Weapon_Sword_n_05,Weapon_Sword_n,5,18,720,0,1,1,Nomal,Weapon,
6,Item_Weapon_Sword_n_06,Weapon_Sword_n,6,20,600,0,1,1,Nomal,Weapon,
7,Item_Weapon_Sword_n_07,Weapon_Sword_n,7,22,580,0,1,1,Nomal,Weapon,
8,Item_Weapon_Sword_n_08,Weapon_Sword_n,8,24,560,0,1,1,Nomal,Weapon,
9,Item_Weapon_Sword_n_09,Weapon_Sword_n,9,26,540,0,1,1,Nomal,Weapon,
10,Item_Weapon_Sword_n_10,Weapon_Sword_n,10,28,520,0,1,1,Nomal,Weapon,
11,Item_Weapon_Sword_n_11,Weapon_Sword_n,11,30,500,0,1,1,Nomal,Weapon,
12,Item_Weapon_Sword_n_12,Weapon_Sword_n,12,32,480,0,1,1,Nomal,Weapon,
13,Item_Weapon_Sword_n_13,Weapon_Sword_n,13,34,460,0,1,1,Nomal,Weapon,
14,Item_Weapon_Sword_n_14,Weapon_Sword_n,14,36,440,0,1,1,Nomal,Weapon,
15,Item_Weapon_Sword_n_15,Weapon_Sword_n,15,38,420,0,1,1,Nomal,Weapon,
16,Item_Weapon_Sword_n_16,Weapon_Sword_n,16,40,400,0,1,1,Nomal,Weapon,
17,Item_Weapon_Sword_n_17,Weapon_Sword_n,17,42,380,0,1,1,Nomal,Weapon,
18,Item_Weapon_Sword_n_18,Weapon_Sword_n,18,44,360,0,1,1,Nomal,Weapon,
19,Item_Weapon_Sword_n_19,Weapon_Sword_n,19,46,340,0,1,1,Nomal,Weapon,
20,Item_Weapon_Sword_n_20,Weapon_Sword_n,20,48,320,0,1,1,Nomal,Weapon,
