ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Bow_n_01,Weapon_Bow_n,1,4,1500,6,2,,Nomal,Weapon,
2,Item_Weapon_Bow_n_02,Weapon_Bow_n,2,6,1480,6,2,1,Nomal,Weapon,
3,Item_Weapon_Bow_n_03,Weapon_Bow_n,3,8,1460,6,2,1,Nomal,Weapon,
4,Item_Weapon_Bow_n_04,Weapon_Bow_n,4,10,1440,6,2,1,Nomal,Weapon,
5,Item_Weapon_Bow_n_05,Weapon_Bow_n,5,12,1420,6,2,1,Nomal,Weapon,
6,Item_Weapon_Bow_n_06,Weapon_Bow_n,6,14,1400,6,2,1,Nomal,Weapon,
7,Item_Weapon_Bow_n_07,Weapon_Bow_n,7,16,1380,6,2,1,Nomal,Weapon,
8,Item_Weapon_Bow_n_08,Weapon_Bow_n,8,18,1360,6,2,1,Nomal,Weapon,
9,Item_Weapon_Bow_n_09,Weapon_Bow_n,9,20,1340,6,2,1,Nomal,Weapon,
10,Item_Weapon_Bow_n_10,Weapon_Bow_n,10,22,1320,6,2,1,Nomal,Weapon,
11,Item_Weapon_Bow_n_11,Weapon_Bow_n,11,24,1300,6,2,1,Nomal,Weapon,
12,Item_Weapon_Bow_n_12,Weapon_Bow_n,12,26,1280,6,2,1,Nomal,Weapon,
13,Item_Weapon_Bow_n_13,Weapon_Bow_n,13,28,1260,6,2,1,Nomal,Weapon,
14,Item_Weapon_Bow_n_14,Weapon_Bow_n,14,30,1240,6,2,1,Nomal,Weapon,
15,Item_Weapon_Bow_n_15,Weapon_Bow_n,15,32,1220,6,2,1,Nomal,Weapon,
16,Item_Weapon_Bow_n_16,Weapon_Bow_n,16,34,1200,6,2,1,Nomal,Weapon,
17,Item_Weapon_Bow_n_17,Weapon_Bow_n,17,36,1180,6,2,1,Nomal,Weapon,
18,Item_Weapon_Bow_n_18,Weapon_Bow_n,18,38,1160,6,2,1,Nomal,Weapon,
19,Item_Weapon_Bow_n_19,Weapon_Bow_n,19,40,1140,6,2,1,Nomal,Weapon,
20,Item_Weapon_Bow_n_20,Weapon_Bow_n,20,42,1120,6,2,1,Nomal,Weapon,
