ID,dev_name,Item_Name,Item_Level,Item_Attack_Point,Item_Attack_Speed,Item_Range,Item_targets,Item_Up_Stat,Item_Delimit,Item_Type,
1,Item_Weapon_Wand_n_01,Weapon_Wand_n,1,12,2500,3,2,,Nomal,Weapon,
2,Item_Weapon_Wand_n_02,Weapon_Wand_n,2,12,2480,3,2,1,Nomal,Weapon,
3,Item_Weapon_Wand_n_03,Weapon_Wand_n,3,12,2460,3,2,1,Nomal,Weapon,
4,Item_Weapon_Wand_n_04,Weapon_Wand_n,4,12,2440,3,2,1,Nomal,Weapon,
5,Item_Weapon_Wand_n_05,Weapon_Wand_n,5,12,2420,3,2,1,Nomal,Weapon,
6,Item_Weapon_Wand_n_06,Weapon_Wand_n,6,12,2400,3,2,1,Nomal,Weapon,
7,Item_Weapon_Wand_n_07,Weapon_Wand_n,7,12,2380,3,2,1,Nomal,Weapon,
8,Item_Weapon_Wand_n_08,Weapon_Wand_n,8,12,2360,3,2,1,Nomal,Weapon,
9,Item_Weapon_Wand_n_09,Weapon_Wand_n,9,12,2340,3,2,1,Nomal,Weapon,
10,Item_Weapon_Wand_n_10,Weapon_Wand_n,10,12,2320,3,2,1,Nomal,Weapon,
11,Item_Weapon_Wand_n_11,Weapon_Wand_n,11,12,2300,3,2,1,Nomal,Weapon,
12,Item_Weapon_Wand_n_12,Weapon_Wand_n,12,12,2280,3,2,1,Nomal,Weapon,
13,Item_Weapon_Wand_n_13,Weapon_Wand_n,13,12,2260,3,2,1,Nomal,Weapon,
14,Item_Weapon_Wand_n_14,Weapon_Wand_n,14,12,2240,3,2,1,Nomal,Weapon,
15,Item_Weapon_Wand_n_15,Weapon_Wand_n,15,12,2220,3,2,1,Nomal,Weapon,
16,Item_Weapon_Wand_n_16,Weapon_Wand_n,16,12,2200,3,2,1,Nomal,Weapon,
17,Item_Weapon_Wand_n_17,Weapon_Wand_n,17,12,2180,3,2,1,Nomal,Weapon,
18,Item_Weapon_Wand_n_18,Weapon_Wand_n,18,12,2160,3,2,1,Nomal,Weapon,
19,Item_Weapon_Wand_n_19,Weapon_Wand_n,19,12,2140,3,2,1,Nomal,Weapon,
20,Item_Weapon_Wand_n_20,Weapon_Wand_n,20,12,2120,3,2,1,Nomal,Weapon,
